source,C:\TEMP\20260505\..\Crusher_IsaacSim_description\Crushing.usd

[LINKS],total=42
#,link_name,world_pos_x [m],world_pos_y [m],world_pos_z [m]
38,base_link_L1_Wall2_1,Fixed,0.336278,0.009431,-0.020802,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,L1_Wall2_1_L2_GearCase2_1,Fixed,0.035000,0.005000,-0.002000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,L2_GearCase2_1_L3_GearCase1_1,Fixed,-0.025000,0.043000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,L1_Wall2_1_L2_Wall3_1,Fixed,0.000000,0.005000,0.021000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
42,root_joint,Fixed,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000

[MOVABLE_JOINTS],total=7
joint_name,type,axis,lower_limit,upper_limit,stiffness,damping,max_force [N]
L3_Bevel_GearBox_1_L4_Shaft_1,Revolute,Z,-inf,inf,0.0000,0.5000,10.0000
L5_Link1_1_L6_Link2_1,Revolute,Z,-inf,inf,12.7599,0.0051,340282346638528859811704183484516925440.0000
L6_Link2_1_L7_Link3_1,Revolute,Z,-inf,inf,10.1312,0.0041,340282346638528859811704183484516925440.0000
L1_Guide1_1_L2_Left_Wall1_1,Prismatic,X,0.0000,0.0000,1.1455,0.0005,100.0000
L3_Motor2_1_L4_Motor2_Shaft_1,Revolute,Z,-inf,inf,0.0000,0.5000,10.0000
L6_DcutShaft_1_L7_Holder_Bearing1_1,Revolute,Z,-inf,inf,0.0013,0.0000,340282346638528859811704183484516925440.0000
L6_DcutShaft_1_L7_Holder_Bearing2_1,Revolute,Z,-inf,inf,0.0023,0.0000,340282346638528859811704183484516925440.0000
