record_type,component,joint,occurrence_path,tag,other_component,world_x_m,world_y_m,world_z_m,local_x_m,local_y_m,local_z_m,distance_m,anchor_vec_x_m,anchor_vec_y_m,anchor_vec_z_m
anchor,Washer,강체 26,,One,Shaft_copy,-0.07401451575122765,0.05922011807982026,0.024379777301648184,0.06950566308868053,-0.008422541478745785,-0.030583526884835992,,,,
anchor,Shaft_copy,강체 26,,Two,Washer,-0.07401451575123198,0.05922011807982113,0.024379777301648562,-0.07401451448464796,0.05922011781903981,0.023664463721281847,,,,
anchor,RachetGear,강체 27,,One,Shaft_copy,-0.07401451575123769,0.05922011807982282,0.028379777301649138,-0.0323589989495091,-0.15820891797132552,-0.032324629560944305,,,,
anchor,Shaft_copy,강체 27,,Two,RachetGear,-0.0740145157512316,0.05922011807982129,0.02837977730164891,-0.07401451448464844,0.059220117819039936,0.02766446372128219,,,,
anchor,PULLEY,강체 28,,One,Shaft_copy,-0.07401451575123093,0.059220118079821804,0.034879777301648755,-0.05000000000000004,0.001577458521254167,-8.881784197001253e-18,,,,
anchor,Shaft_copy,강체 28,,Two,PULLEY,-0.07401451575123086,0.05922011807982187,0.034879777301648755,-0.07401451448464909,0.05922011781904046,0.03416446372128203,,,,
anchor,Crank,회전 29,,One,PULLEY,-0.09151451575123062,0.059220118079825204,0.04087977730164946,-0.14499999999999996,0.006000000000000014,0.0175,,,,
anchor,PULLEY,회전 29,,Two,Crank,-0.09151451575123062,0.0592201180798252,0.04087977730164944,-0.032500000000000015,0.0075774585212541766,-2.6645352591003756e-17,,,,
anchor,Shaft_copy,회전 31,,One,base_link,-0.07401451575123288,0.059220118079820576,0.014379777301660342,-0.07401451448464672,0.05922011781903935,0.013664463721293625,,,,
anchor,base_link,회전 31,,Two,Shaft_copy,-0.07401451575123291,0.059220118079820604,0.014379777301660344,0.03145337992092487,-0.01929743604843232,-0.015294461753906008,,,,
anchor,M_LeftLink2_copy,강체 33,,One,M_Top,-0.04150000000008119,0.02671503473256061,0.05800000000000008,0.13857106963091195,0.02699051074007916,0.058000001117600335,,,,
anchor,M_Top,강체 33,,Two,M_LeftLink2_copy,-0.041499999999991405,0.02671503473256456,0.0580000000000028,0.036992662619392984,0.025197681219612283,-0.04810257509534889,,,,
anchor,Crank,회전 34,,One,M_Top,-0.03151451575123136,0.05922011807981563,0.04687977730164717,-0.08499999999999996,0.0,0.0175,,,,
anchor,M_Top,회전 34,,Two,Crank,-0.03151451575123133,0.05922011807981565,0.046879777301649106,0.027007178370636927,0.014077458521261632,-0.015597491748095554,,,,
anchor,M_Bottom,슬라이더 35,,One,base_link,-0.05460299999999005,0.05901722111027532,0.015000000000002286,0.050024592988474004,-0.017802318780387693,-0.0158003887176376,,,,
anchor,base_link,슬라이더 35,,Two,M_Bottom,-0.05500151528194326,0.05901722111027538,0.015000000000002343,0.0504663803902145,-0.01867721335008829,-0.015091564784364008,,,,
anchor,ShaftHandle,강체 36,,One,Shaft_copy,-0.07401451575123681,0.05515467736525638,0.00477596002400345,-0.07401451448464584,0.0551546771044744,0.0040606464436367,,,,
anchor,Shaft_copy,강체 36,,Two,ShaftHandle,-0.0740145157512348,0.0551546773652558,0.004775960024003454,-0.07401451448464585,0.055154677104474414,0.0040606464436367005,,,,
anchor,PAWL,강체 38,,One,base_link,-0.08108331079320998,0.02696791545273512,0.028379777301657347,0.0576050822721489,-0.06054705512021073,-0.000930573634538403,,,,
anchor,base_link,강체 38,,Two,PAWL,-0.08108331079320992,0.026967915452735147,0.028379777301657354,0.024384584878951898,-0.005297436048438033,0.016957740873181523,,,,
distance,M_Back,M_Bottom_M_Back <-> MBack_MTop,,,,,,,,,,0.028984913964121527,-0.002499999999999645,0.02800000000000018,-0.007062240261242803
distance,M_Back,M_Bottom_M_Back <-> MBack_MRight1,,,,,,,,,,0.07770512090185894,-0.0024999999999999467,0.018000000000000186,0.07555022047864922
distance,M_Back,M_Bottom_M_Back <-> MBack_MLeft1,,,,,,,,,,0.03756773175708751,-0.0024999999999999736,0.01800000000000018,-0.03287984898646092
distance,M_Back,MBack_MTop <-> MBack_MRight1,,,,,,,,,,0.08321549536895277,-3.019806626980426e-16,-0.009999999999999995,0.08261246073989202
distance,M_Back,MBack_MTop <-> MBack_MLeft1,,,,,,,,,,0.02768661987835386,-3.2862601528904633e-16,-0.01,-0.025817608725218124
distance,M_Back,MBack_MRight1 <-> MBack_MLeft1,,,,,,,,,,0.10843006946511015,-2.6645352591003756e-17,-4.440892098500626e-18,-0.10843006946511015
distance,M_Bottom,M_Bottom_M_Back <-> MBottom_MLeft2,,,,,,,,,,0.02828427124746147,0.020000000000000004,2.1316282072803005e-16,-0.019999999999999386
distance,M_Bottom,M_Bottom_M_Back <-> MBottom_MRight2,,,,,,,,,,0.06535896849728932,0.019815885504516014,-0.0009907944269526281,0.062274744247608836
distance,M_Bottom,M_Bottom_M_Back <-> 슬라이더 35,,,,,,,,,,0.054150217998639574,0.04960299999999995,-0.004999999999999782,0.0211373721238047
distance,M_Bottom,MBottom_MLeft2 <-> MBottom_MRight2,,,,,,,,,,0.08228091584780317,-0.00018411449548398908,-0.0009907944269528413,0.08227474424760821
distance,M_Bottom,MBottom_MLeft2 <-> 슬라이더 35,,,,,,,,,,0.050927605424291554,0.02960299999999994,-0.004999999999999996,0.04113737212380409
distance,M_Bottom,MBottom_MRight2 <-> 슬라이더 35,,,,,,,,,,0.05094731891421136,0.029787114495483928,-0.004009205573047154,-0.04113737212380413
distance,M_Left2,MBottom_MLeft2 <-> MLeft2_LeftSlider2,,,,,,,,,,0.013463232901119138,-9.295240598499177e-05,0.012499999999999938,-0.005
distance,M_Right2,MBottom_MRight2 <-> MRight2_RightSlider2,,,,,,,,,,0.014458834815547232,0.0014340048650465854,0.013490794426952784,0.00500000000000032
distance,M_Top,MBack_MTop <-> MTop_MRightLink,,,,,,,,,,0.08548505725836399,0.047500000000000354,0.005,0.07089742600733638
distance,M_Top,MBack_MTop <-> MTop_MLeftLink1,,,,,,,,,,0.04980092964211196,0.04750000000000034,0.0050000000000000175,-0.014102573992663637
distance,M_Top,MBack_MTop <-> 강체 33,,,,,,,,,,0.04047012618420297,0.039000000000000375,0.01,-0.00410257399266376
distance,M_Top,MBack_MTop <-> 회전 34,,,,,,,,,,0.040617724712379615,0.029014515751244325,-0.0011202226983506502,0.028402509354589576
distance,M_Top,MTop_MRightLink <-> MTop_MLeftLink1,,,,,,,,,,0.08500000000000002,-8.881784197001253e-18,1.7763568394002505e-17,-0.08500000000000002
distance,M_Top,MTop_MRightLink <-> 강체 33,,,,,,,,,,0.07564555505778262,-0.008499999999999975,0.005,-0.07500000000000015
distance,M_Top,MTop_MRightLink <-> 회전 34,,,,,,,,,,0.04674385729817675,-0.01848548424875603,-0.0061202226983506506,-0.04249491665274681
distance,M_Top,MTop_MLeftLink1 <-> 강체 33,,,,,,,,,,0.014044571905188024,-0.008499999999999966,0.004999999999999983,0.009999999999999875
