filename,n_vertices,n_faces,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,extent_x,extent_y,extent_z,bbox_diagonal,principal_length,centroid_x,centroid_y,centroid_z,is_watertight,volume
LeftSlider2_1.stl,7332,2444,-102.74308776855469,8.79691219329834,26.286972045898438,-3.8833281993865967,19.486862182617188,38.71302795410156,98.85975956916809,10.689949989318848,12.426055908203125,100.20945044396586,98.75015784419108,-55.471788701533754,14.222789120947281,32.49915317778892,True,2281.481595064503
LeftSlider2_1_hull.stl,780,260,-102.74308776855469,8.79691219329834,26.286972045898438,-3.8833281993865967,19.486862182617188,38.71302795410156,98.85975956916809,10.689949989318848,12.426055908203125,100.20945044396586,98.76526595056171,-63.663520249953635,14.804918878506392,32.507630468026186,True,5963.774473310493
M_Back_1.stl,3936,1312,-4.268406867980957,5.6704864501953125,15.0,6.9983673095703125,114.20819091796875,48.0,11.26677417755127,108.53770446777344,33.0,114.00163810885202,108.4370088090313,1.6319500265379883,65.43813746464932,32.365335654437054,True,17287.405364880888
M_Back_1_hull.stl,120,40,-4.268406867980957,5.6704864501953125,15.0,6.9983673095703125,114.20819091796875,48.0,11.26677417755127,108.53770446777344,33.0,114.00163810885202,108.7842828205699,1.0999994973341625,60.18305325905482,30.636665217081706,True,17890.96300463414
M_Bottom_1.stl,1968,656,-53.042877197265625,18.818113327026367,15.0,1.2384580373764038,103.82563018798828,25.0,54.28133523464203,85.00751686096191,10.0,101.35453259584553,82.48483689174745,-21.3472895018233,61.07319138011312,19.74261832624916,True,40205.21911675826
M_Bottom_1_hull.stl,120,40,-53.042877197265625,18.818113327026367,15.0,1.2384580373764038,103.82563018798828,25.0,54.28133523464203,85.00751686096191,10.0,101.35453259584553,82.89503010715859,-22.91492504195776,58.19653155008952,20.103919871648152,True,40810.743543316945
M_Left1_1.stl,1680,560,-54.473968505859375,0.6788668036460876,5.062616992290714e-13,0.7232129573822021,8.85349178314209,48.0,55.19718146324158,8.174624979496002,47.999999999999496,73.60403069833453,66.33388781168789,-18.85656333700532,4.323343529800574,38.46993820894339,True,12940.372338905565
M_Left1_1_hull.stl,84,28,-54.473968505859375,0.6788668036460876,5.062616992290714e-13,0.7232129573822021,8.85349178314209,48.0,55.19718146324158,8.174624979496002,47.999999999999496,73.60403069833453,66.67676893959559,-16.112200307349365,4.1422381195284075,27.00030008951932,True,13200.00006215607
M_Left2_1.stl,2640,880,-103.64445495605469,13.826493263244629,15.0,-3.5230135917663574,24.605377197265625,48.0,100.12144136428833,10.778883934020996,33.0,105.9692755459134,102.10061340634476,-29.81483316728563,17.92777461608251,26.947083288250546,True,16024.907170405024
M_Left2_1_hull.stl,132,44,-103.64445495605469,13.826493263244629,15.0,-3.5230135917663574,24.605377197265625,48.0,100.12144136428833,10.778883934020996,33.0,105.9692755459134,100.5807801263142,-27.89639433405616,17.678177891355574,29.61157463536118,True,16499.95145822632
M_LeftLink2_copy_1.stl,5046,1682,-48.727882385253906,14.631306648254395,58.0,-36.665348052978516,35.176513671875,103.0,12.06253433227539,20.545207023620605,45.0,50.91768127242984,47.384569776013365,-43.73994288253633,27.964678492944863,75.35196034737253,True,4823.812425157585
M_LeftLink2_copy_1_hull.stl,168,56,-48.727882385253906,14.631306648254395,58.0,-36.665348052978516,35.176513671875,103.0,12.06253433227539,20.545207023620605,45.0,50.91768127242984,47.269324169198256,-41.83426530020578,27.355934233892533,85.48473258245559,True,8370.885665769938
