# Velocity Control — Tablet Force Profile
# STL,tablet_R8.5_AR2.50_CV0.35.stl,R_mm,8.5,AR,2.5,CV,0.35
# target_rpm,8.0,kv,60.0,forcelim,120.0
# density_kg_m3,1200.0
# F_Y_max,0.00000,F_Y_min,0.00000,Impulse_Ns,0.000000

Time_s,F_X_N,F_Y_N,F_Z_N,Crank_RPM,Motor_torque_Nm
1.70400,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.70600,0.00000,0.00000,0.00000,0.0543,0.3413
1.70800,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.71000,0.00000,0.00000,0.00000,0.0543,0.3413
1.71200,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.71400,0.00000,0.00000,0.00000,0.0543,0.3413
1.71600,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.71800,0.00000,0.00000,0.00000,0.0543,0.3413
1.72000,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.72200,0.00000,0.00000,0.00000,0.0543,0.3413
1.72400,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.72600,0.00000,0.00000,0.00000,0.0543,0.3413
1.72800,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.73000,0.00000,0.00000,0.00000,0.0543,0.3413
1.73200,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.73400,0.00000,0.00000,0.00000,0.0543,0.3413
1.73600,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.73800,0.00000,0.00000,0.00000,0.0543,0.3413
1.74000,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.74200,0.00000,0.00000,0.00000,0.0543,0.3413
1.74400,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.74600,0.00000,0.00000,0.00000,0.0543,0.3413
1.74800,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.75000,0.00000,0.00000,0.00000,0.0543,0.3413
1.75200,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.75400,0.00000,0.00000,0.00000,0.0543,0.3413
1.75600,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.75800,0.00000,0.00000,0.00000,0.0543,0.3413
1.76000,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.76200,0.00000,0.00000,0.00000,0.0543,0.3413
1.76400,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.76600,0.00000,0.00000,0.00000,0.0543,0.3413
1.76800,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.77000,0.00000,0.00000,0.00000,0.0543,0.3413
1.77200,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.77400,0.00000,0.00000,0.00000,0.0543,0.3413
1.77600,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.77800,0.00000,0.00000,0.00000,0.0543,0.3413
1.78000,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.78200,0.00000,0.00000,0.00000,0.0543,0.3413
1.78400,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.78600,0.00000,0.00000,0.00000,0.0543,0.3413
1.78800,0.00000,0.00000,0.00000,-0.0543,-0.3413
