# Crusher Tablet Simulation — slide joint
# Generated,2026-06-05T14:11:10
# STL,tablet_R4.0_AR1.00_CV0.08.stl,R_mm,4.0,AR,1.0,CV,0.08
# density_kg_m3,1200.0,slide_damping_Nsm,10.0
# solref_tau_s,0.020000
# MOTOR_CTRL_Nm,-0.5,MOTOR_DELAY_s,3.0
# F_Y_max_N,0.02606,F_Y_min_N,-0.02480,Impulse_Ns,-0.000815,disp_max_mm,1.6544

Time_s,F_X_N,F_Y_N,F_Z_N,F_mag_N,Slider_Y_mm,Tablet_Y_mm,Gap_mm,Slide_disp_mm,Slide_vel_mms,Crank_vel_rads,Motor_dir,ncon
26.28000,0.000000,0.000000,0.000000,0.000000,217.6010,335.2405,117.6395,0.08150,0.00000,-0.932981,CCW,0
26.28200,0.000000,0.000000,0.000000,0.000000,217.6391,335.2405,117.6014,0.08150,0.00000,-0.932328,CCW,0
26.28400,0.000000,0.000000,0.000000,0.000000,217.6772,335.2405,117.5633,0.08150,0.00000,-0.931677,CCW,0
26.28600,0.000000,0.000000,0.000000,0.000000,217.7153,335.2405,117.5252,0.08150,0.00000,-0.931026,CCW,0
26.28800,0.000000,0.000000,0.000000,0.000000,217.7534,335.2405,117.4871,0.08150,0.00000,-0.930377,CCW,0
26.29000,0.000000,0.000000,0.000000,0.000000,217.7914,335.2405,117.4491,0.08150,0.00000,-0.929729,CCW,0
26.29200,0.000000,0.000000,0.000000,0.000000,217.8294,335.2405,117.4111,0.08150,0.00000,-0.929082,CCW,0
26.29400,0.000000,0.000000,0.000000,0.000000,217.8674,335.2405,117.3731,0.08150,0.00000,-0.928437,CCW,0
26.29600,0.000000,0.000000,0.000000,0.000000,217.9054,335.2405,117.3351,0.08150,0.00000,-0.927792,CCW,0
26.29800,0.000000,0.000000,0.000000,0.000000,217.9433,335.2405,117.2972,0.08150,0.00000,-0.927149,CCW,0
26.30000,0.000000,0.000000,0.000000,0.000000,217.9812,335.2405,117.2593,0.08150,0.00000,-0.926507,CCW,0
26.30200,0.000000,0.000000,0.000000,0.000000,218.0191,335.2405,117.2214,0.08150,0.00000,-0.925867,CCW,0
26.30400,0.000000,0.000000,0.000000,0.000000,218.0570,335.2405,117.1835,0.08150,0.00000,-0.925227,CCW,0
26.30600,0.000000,0.000000,0.000000,0.000000,218.0948,335.2405,117.1457,0.08150,0.00000,-0.924589,CCW,0
26.30800,0.000000,0.000000,0.000000,0.000000,218.1327,335.2405,117.1078,0.08150,0.00000,-0.923952,CCW,0
26.31000,0.000000,0.000000,0.000000,0.000000,218.1704,335.2405,117.0701,0.08150,0.00000,-0.923316,CCW,0
26.31200,0.000000,0.000000,0.000000,0.000000,218.2082,335.2405,117.0323,0.08150,0.00000,-0.922681,CCW,0
26.31400,0.000000,0.000000,0.000000,0.000000,218.2459,335.2405,116.9946,0.08150,0.00000,-0.922047,CCW,0
26.31600,0.000000,0.000000,0.000000,0.000000,218.2837,335.2405,116.9569,0.08150,0.00000,-0.921415,CCW,0
26.31800,0.000000,0.000000,0.000000,0.000000,218.3213,335.2405,116.9192,0.08150,0.00000,-0.920784,CCW,0
26.32000,0.000000,0.000000,0.000000,0.000000,218.3590,335.2405,116.8815,0.08150,0.00000,-0.920154,CCW,0
26.32200,0.000000,0.000000,0.000000,0.000000,218.3966,335.2405,116.8439,0.08150,0.00000,-0.919526,CCW,0
26.32400,0.000000,0.000000,0.000000,0.000000,218.4342,335.2405,116.8063,0.08150,0.00000,-0.918898,CCW,0
26.32600,0.000000,0.000000,0.000000,0.000000,218.4718,335.2405,116.7687,0.08150,0.00000,-0.918272,CCW,0
26.32800,0.000000,0.000000,0.000000,0.000000,218.5094,335.2405,116.7311,0.08150,0.00000,-0.917647,CCW,0
26.33000,0.000000,0.000000,0.000000,0.000000,218.5469,335.2405,116.6936,0.08150,0.00000,-0.917023,CCW,0
26.33200,0.000000,0.000000,0.000000,0.000000,218.5844,335.2405,116.6561,0.08150,0.00000,-0.916400,CCW,0
26.33400,0.000000,0.000000,0.000000,0.000000,218.6219,335.2405,116.6187,0.08150,0.00000,-0.915779,CCW,0
26.33600,0.000000,0.000000,0.000000,0.000000,218.6593,335.2405,116.5812,0.08150,0.00000,-0.915158,CCW,0
26.33800,0.000000,0.000000,0.000000,0.000000,218.6967,335.2405,116.5438,0.08150,0.00000,-0.914539,CCW,0
26.34000,0.000000,0.000000,0.000000,0.000000,218.7341,335.2405,116.5064,0.08150,0.00000,-0.913921,CCW,0
26.34200,0.000000,0.000000,0.000000,0.000000,218.7715,335.2405,116.4690,0.08150,0.00000,-0.913305,CCW,0
